day,intraday,time_normalized,instantaneous_vol,date,realized_vol,RV_daily,RV_weekly,RV_monthly
151,0,0.0,3.671629766156782e-05,2025-11-26,0.003732708710724546,0.003732708710724546,0.0038745083371586075,
152,0,0.0,1.4890709206582758e-05,2025-11-27,0.0043789394483217834,0.0043789394483217834,0.003907546264274146,
153,0,0.0,1.198481274992849e-05,2025-11-28,0.0034522082357932144,0.0034522082357932144,0.004058137461715794,
154,0,0.0,2.6766762059765383e-05,2025-12-01,0.003859499663374215,0.003859499663374215,0.004022965570861499,
155,0,0.0,1.0824338221654936e-05,2025-12-02,0.0036330350726413853,0.0036330350726413853,0.003960418982751139,
156,0,0.0,1.882626482437656e-05,2025-12-03,0.00396803211259751,0.00396803211259751,0.003811278226171029,
157,0,0.0,2.601607264423713e-05,2025-12-04,0.003837229954640658,0.003837229954640658,0.003858342906545622,
158,0,0.0,3.356146774544135e-05,2025-12-05,0.0048373315555066965,0.0048373315555066965,0.003750001007809397,
159,0,0.0,2.005640286545837e-05,2025-12-08,0.004550741196474278,0.004550741196474278,0.004027025671752093,
160,0,0.0,3.2966404951455624e-05,2025-12-09,0.005334130685005147,0.005334130685005147,0.004165273978372105,
161,0,0.0,2.718601938610786e-05,2025-12-10,0.0048406378246325975,0.0048406378246325975,0.004505493100844858,
162,0,0.0,2.7231606365248242e-05,2025-12-11,0.005244128237042792,0.005244128237042792,0.004680014243251875,
163,0,0.0,1.5838729154459034e-05,2025-12-12,0.0035449371066929108,0.0035449371066929108,0.004961393899732302,
164,0,0.0,1.9024996224458856e-05,2025-12-15,0.0033159157910773174,0.0033159157910773174,0.0047029150099695445,
165,0,0.0,1.070952514229482e-05,2025-12-16,0.0038492275815721734,0.0038492275815721734,0.004455949928890153,
166,0,0.0,2.0653640006838423e-05,2025-12-17,0.003983331748267851,0.003983331748267851,0.0041589693082035575,0.004042758613994593
167,0,0.0,2.817865080880082e-05,2025-12-18,0.004020352007855117,0.004020352007855117,0.003987508092930609,0.004067310481148614
168,0,0.0,1e-05,2025-12-19,0.0032232047435690318,0.0032232047435690318,0.003742752847093074,0.0040797694826369656
169,0,0.0,1e-05,2025-12-22,0.002493981240097456,0.002493981240097456,0.003678406374468298,0.0040641188312016095
170,0,0.0,1.2593131111607027e-05,2025-12-23,0.0035269541489683135,0.0035269541489683135,0.0035140194642723256,0.004012664184791789
171,0,0.0,1.0524934444693301e-05,2025-12-24,0.003214610794418005,0.003214610794418005,0.0034495647777515537,0.004008068114741952
172,0,0.0,1.302785982422071e-05,2025-12-26,0.0023162463046247036,0.0023162463046247036,0.003295820586981585,0.003964539850673407
173,0,0.0,2.6927050078628972e-05,2025-12-29,0.0027187905108660396,0.0027187905108660396,0.0029549994463355022,0.0038707901892680776
174,0,0.0,1.8205670000695355e-05,2025-12-30,0.0035879673673293866,0.0035879673673293866,0.0028541165997949033,0.0038247029983654187
